"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"VIDEO: Seribu Lilin di Seoul untuk Korban Tragedi Halloween Itaewon https://t.co/ZuT26yfaJa #Terbaru #Berita… https://t.co/ZdJ984NM9V",FALSE,0,NA,2022-11-06 09:42:05,TRUE,NA,"1589191381620494337",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","nolantv_com",0,FALSE,FALSE,NA,NA
"RT @sitinur7821: OPEN SERVICE 🇲🇾
DM LEBIH LANJUT AWAK💦
#Malaysia #MalaysiaMemilih
#ITAEWON #AWANI745 #AWANInews #MalaysiaKitaPunya #Malaysi…",FALSE,0,NA,2022-11-06 06:09:16,FALSE,NA,"1589137823864881152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GerfanN",2,TRUE,FALSE,NA,NA
"RT @sitinur7821: OPEN SERVICE 🇲🇾
DM LEBIH LANJUT AWAK💦
#Malaysia #MalaysiaMemilih
#ITAEWON #AWANI745 #AWANInews #MalaysiaKitaPunya #Malaysi…",FALSE,0,NA,2022-11-06 06:00:30,FALSE,NA,"1589135618483032065",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sitinur7821",2,TRUE,FALSE,NA,NA
"OPEN SERVICE 🇲🇾
DM LEBIH LANJUT AWAK💦
#Malaysia #MalaysiaMemilih
#ITAEWON #AWANI745 #AWANInews #MalaysiaKitaPunya… https://t.co/EeHLMG7GnC",FALSE,8,NA,2022-11-06 06:00:24,TRUE,NA,"1589135591819837440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sitinur7821",2,FALSE,FALSE,NA,NA
"RT @TanyaApotekerKu: Tips jika kita berada di kerumunan / berdesakan

#halloween #kerumunan #itaewon https://t.co/3gKEkZtNkK",FALSE,0,NA,2022-11-06 05:46:41,FALSE,NA,"1589132139278524419",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yayusyru",2,TRUE,FALSE,NA,NA
"SPESIAL PIALA DUNIA QATAR 2022
EVENT MIXPARLAY 4 TEAM SPESIAL 1X2
Gampang Tebak , Peraturan tidak Ribet !!
BERHADIA… https://t.co/F60AsGiAcb",FALSE,0,NA,2022-11-06 04:28:41,TRUE,NA,"1589112510883725312",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","fitrimaryana5",0,FALSE,FALSE,NA,NA
"RT @SalmaAkhtar34: Sindhu River, Leh Ladakh
#nature #NaturePhotography #photo #prayforitaewon #Itaewon #ISTvFB #chennairains https://t.co/5…",FALSE,0,NA,2022-11-06 03:48:04,FALSE,NA,"1589102289838821378",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mohdiqbal1993",7,TRUE,FALSE,NA,NA
"RT @TanyaApotekerKu: Tips jika kita berada di kerumunan / berdesakan

#halloween #kerumunan #itaewon https://t.co/3gKEkZtNkK",FALSE,0,NA,2022-11-06 01:17:22,FALSE,NA,"1589064363239145473",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tiwiitimo",2,TRUE,FALSE,NA,NA
"Tips jika kita berada di kerumunan / berdesakan

#halloween #kerumunan #itaewon https://t.co/3gKEkZtNkK",FALSE,4,NA,2022-11-05 22:53:15,FALSE,NA,"1589028097764261888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TanyaApotekerKu",2,FALSE,FALSE,NA,NA
"Media Vietnam Ungkap Cara Qatar Cegah Tragedi di Kajuruhan hingga Itaewon Terjadi di Piala Dunia 2022… https://t.co/dCFGl7191U",FALSE,0,NA,2022-11-05 22:30:02,TRUE,NA,"1589022252703571969",NA,"<a href=""https://bolabanget.id"" rel=""nofollow"">BolaBanget Sports Indonesia</a>","bb_sports_id",0,FALSE,FALSE,NA,NA
